,Framecount,Expression,Probability,EAR
13,130,neutral,"tensor([1.1314e-01, 1.1928e-03, 2.2444e-02, 2.5314e-01, 6.0491e-01, 4.7823e-03,
        3.9540e-04])",0.24298207464727184
14,140,neutral,"tensor([1.5013e-01, 2.1315e-03, 2.8764e-02, 2.9919e-01, 5.1348e-01, 6.1205e-03,
        1.8276e-04])",0.2743698501460526
15,150,neutral,"tensor([1.0670e-01, 9.8037e-04, 1.9779e-02, 2.3058e-01, 6.3362e-01, 8.1017e-03,
        2.3832e-04])",0.260989010989011
16,160,neutral,"tensor([4.6427e-02, 4.1888e-04, 1.7214e-02, 2.9306e-01, 6.3626e-01, 6.5545e-03,
        6.9798e-05])",0.2496823374788419
17,170,neutral,"tensor([3.5118e-02, 4.4636e-04, 1.5865e-02, 3.4156e-01, 5.9868e-01, 8.2583e-03,
        7.0003e-05])",0.2279173065459849
18,180,neutral,"tensor([2.3631e-02, 4.6977e-04, 1.0517e-02, 4.0533e-01, 5.4985e-01, 1.0151e-02,
        5.6024e-05])",0.2519639310523777
19,190,neutral,"tensor([5.5900e-02, 1.1067e-03, 1.0728e-02, 3.7035e-01, 5.5133e-01, 1.0511e-02,
        7.4129e-05])",0.25
20,200,neutral,"tensor([3.7605e-02, 8.8881e-04, 1.8064e-02, 3.7837e-01, 5.5641e-01, 8.6200e-03,
        4.0980e-05])",0.2527716650380206
21,210,nervous,"tensor([2.6753e-02, 6.7162e-04, 2.2284e-02, 5.2754e-01, 4.0985e-01, 1.2853e-02,
        5.0079e-05])",0.2523751534709258
22,220,neutral,"tensor([4.8759e-02, 1.8383e-03, 2.4212e-02, 4.5080e-01, 4.5587e-01, 1.8377e-02,
        1.3765e-04])",0.2526181689804917
23,230,neutral,"tensor([5.6517e-02, 7.5725e-04, 2.5997e-02, 4.0480e-01, 5.0246e-01, 9.3902e-03,
        7.3397e-05])",0.29036882500433114
24,240,neutral,"tensor([4.5335e-02, 1.7510e-03, 1.4854e-02, 4.2303e-01, 4.9981e-01, 1.5096e-02,
        1.1704e-04])",0.2923327560567088
25,250,nervous,"tensor([2.9462e-02, 8.9505e-04, 1.3593e-02, 5.0845e-01, 4.3296e-01, 1.4576e-02,
        5.5555e-05])",0.2527716650380206
26,260,nervous,"tensor([1.6635e-02, 3.9751e-04, 1.1658e-02, 5.0978e-01, 4.5030e-01, 1.1200e-02,
        3.8384e-05])",0.2625527109355509
27,270,nervous,"tensor([3.4161e-02, 8.1201e-04, 1.3892e-02, 4.8704e-01, 4.4228e-01, 2.1716e-02,
        9.8413e-05])",0.2812661438091252
28,280,nervous,"tensor([2.8652e-02, 1.3890e-03, 1.3511e-02, 5.5023e-01, 3.8518e-01, 2.0912e-02,
        1.2631e-04])",0.2684377460965796
29,290,nervous,"tensor([5.7035e-03, 3.5359e-04, 7.6793e-03, 5.7022e-01, 3.9250e-01, 2.3532e-02,
        8.3121e-06])",0.20332980251057742
30,300,neutral,"tensor([2.0649e-02, 4.6151e-04, 1.4334e-02, 4.3127e-01, 5.1421e-01, 1.9031e-02,
        4.1959e-05])",0.2112552389905367
31,310,neutral,"tensor([1.7236e-02, 4.0173e-04, 1.4869e-02, 3.1472e-01, 6.4198e-01, 1.0741e-02,
        5.7573e-05])",0.26293017950917885
32,320,nervous,"tensor([1.9498e-02, 4.4168e-04, 6.5144e-03, 4.9525e-01, 4.6858e-01, 9.6883e-03,
        2.7708e-05])",0.2300894966542111
33,330,nervous,"tensor([1.8981e-02, 6.4277e-04, 2.0370e-02, 5.1893e-01, 4.2331e-01, 1.7692e-02,
        6.8460e-05])",0.2521983147431725
34,340,neutral,"tensor([1.9836e-02, 1.4001e-03, 5.5459e-03, 2.9664e-01, 6.6707e-01, 9.4806e-03,
        1.9991e-05])",0.23076923076923078
