,Framecount,Expression,Probability
147,1670,nervous,"tensor([0.1639, 0.0090, 0.0075, 0.6622, 0.1001, 0.0513, 0.0059])"
148,1680,confident,"tensor([0.9198, 0.0159, 0.0024, 0.0338, 0.0198, 0.0063, 0.0020])"
149,1690,nervous,"tensor([0.3822, 0.0323, 0.0156, 0.4018, 0.0715, 0.0841, 0.0124])"
150,1700,confident,"tensor([0.3178, 0.0651, 0.0122, 0.3157, 0.1575, 0.1192, 0.0123])"
151,1710,nervous,"tensor([0.0140, 0.0429, 0.0039, 0.5862, 0.0447, 0.3051, 0.0031])"
152,1720,nervous,"tensor([4.5416e-02, 3.4045e-04, 3.3822e-03, 8.2551e-01, 4.6078e-02, 7.3751e-02,
        5.5216e-03])"
153,1730,nervous,"tensor([0.0425, 0.0922, 0.0226, 0.4081, 0.1092, 0.3185, 0.0069])"
154,1740,nervous,"tensor([0.1010, 0.0149, 0.0178, 0.4867, 0.2875, 0.0859, 0.0061])"
155,1750,nervous,"tensor([0.1739, 0.0116, 0.0258, 0.5707, 0.1156, 0.0829, 0.0196])"
156,1760,nervous,"tensor([0.1044, 0.0472, 0.0488, 0.5531, 0.0163, 0.2221, 0.0080])"
157,1770,nervous,"tensor([0.1519, 0.0013, 0.0089, 0.6918, 0.0979, 0.0353, 0.0128])"
158,1780,nervous,"tensor([0.0555, 0.0191, 0.0347, 0.5401, 0.0855, 0.2620, 0.0031])"
159,1790,confident,"tensor([0.4160, 0.1476, 0.0383, 0.1904, 0.0380, 0.1557, 0.0139])"
160,1800,scared,"tensor([0.1896, 0.1491, 0.0244, 0.2501, 0.0771, 0.2958, 0.0138])"
161,1810,nervous,"tensor([0.2311, 0.1408, 0.0488, 0.3179, 0.0303, 0.2102, 0.0209])"
162,1820,nervous,"tensor([0.2935, 0.0801, 0.0585, 0.3311, 0.0203, 0.2069, 0.0096])"
163,1830,scared,"tensor([0.1445, 0.1677, 0.0400, 0.2848, 0.0559, 0.2949, 0.0122])"
164,1840,confident,"tensor([0.4688, 0.2006, 0.0377, 0.1089, 0.0362, 0.1341, 0.0139])"
165,1850,confident,"tensor([0.3903, 0.0235, 0.0280, 0.3817, 0.0503, 0.1178, 0.0084])"
166,1860,nervous,"tensor([0.1237, 0.0025, 0.0237, 0.7347, 0.0679, 0.0425, 0.0051])"
167,1870,enthusiastic,"tensor([0.1133, 0.3788, 0.0246, 0.0949, 0.0163, 0.3685, 0.0037])"
168,1880,nervous,"tensor([0.3108, 0.0466, 0.0502, 0.4004, 0.0373, 0.1499, 0.0049])"
169,1890,confident,"tensor([0.3488, 0.2323, 0.0308, 0.1546, 0.0194, 0.2073, 0.0067])"
170,1900,enthusiastic,"tensor([0.2031, 0.4244, 0.0196, 0.1090, 0.0098, 0.2326, 0.0014])"
171,1910,confident,"tensor([0.3595, 0.2988, 0.0276, 0.0869, 0.1127, 0.0998, 0.0146])"
172,1920,nervous,"tensor([0.1795, 0.0046, 0.0145, 0.5344, 0.2162, 0.0406, 0.0102])"
173,1930,enthusiastic,"tensor([0.1884, 0.3006, 0.0583, 0.2407, 0.0821, 0.1103, 0.0195])"
174,1940,nervous,"tensor([0.0104, 0.0012, 0.0103, 0.8579, 0.0876, 0.0312, 0.0015])"
